Team,Age,W,L,WL_percent,PW,PL,OPtg,DRtg,NRtg,Pace,FTr,3PAr,TS_percent,eFG_percent_offense,TOV_percent_offense,ORB_percent,FT/FGA_offense,eFG_percent_defense,TOV_percent_defense,DRB_percent,FT/FGA_defense,Year
Sacramento Kings,27.2,10,6,0.625,9,7,106.3,103.9,2.4,93.9,0.363,0.196,0.529,0.478,13.4,29.4,0.269,0.46,12.9,69.6,0.222,2002
Dallas Mavericks,26.5,4,4,0.5,4,4,111.7,111.4,0.3,96.4,0.287,0.251,0.55,0.499,11.2,24.2,0.24,0.493,12.9,67.6,0.288,2002
Indiana Pacers,26.1,2,3,0.4,3,2,97.1,96.9,0.2,90.6,0.297,0.155,0.533,0.489,17.5,21.5,0.226,0.448,13.7,75.8,0.205,2002
Charlotte Hornets,28.7,4,5,0.444,4,4,103.9,103.9,0,90.4,0.399,0.151,0.505,0.449,13.4,33.2,0.289,0.454,12.4,73.4,0.291,2002
New Jersey Nets,26.4,11,9,0.55,10,10,102.3,102.3,0,92.3,0.324,0.176,0.503,0.457,13,27.5,0.235,0.472,14.5,72.3,0.277,2002
Detroit Pistons,29.3,4,6,0.4,5,5,96.1,96.5,-0.4,86.4,0.304,0.307,0.497,0.454,14.9,22.9,0.22,0.446,15.5,72.1,0.202,2002
Utah Jazz,30,1,3,0.25,2,2,98.6,99.8,-1.2,89.2,0.34,0.145,0.482,0.437,15.3,33.7,0.233,0.436,16.6,69.1,0.336,2002
Toronto Raptors,29.9,2,3,0.4,2,3,97.8,101.1,-3.3,85.7,0.267,0.137,0.486,0.444,15.6,32.1,0.197,0.468,15.4,74.3,0.281,2002
Orlando Magic,28.5,1,3,0.25,1,3,101.2,106.6,-5.4,88.1,0.395,0.21,0.509,0.451,11.5,20.8,0.293,0.445,12.8,65.9,0.31,2002
Portland Trail Blazers,29.2,0,3,0,1,2,99.3,105.1,-5.8,92,0.337,0.22,0.485,0.423,13.5,26.9,0.268,0.487,13,77.4,0.327,2002
Philadelphia 76ers,29.8,2,3,0.4,1,4,102.1,112.2,-10.1,87.2,0.435,0.177,0.508,0.44,14.1,29.9,0.329,0.541,13.8,76.5,0.184,2002
Minnesota Timberwolves,26.5,0,3,0,1,2,105.5,116.6,-11.1,96.6,0.428,0.156,0.53,0.475,14,30.3,0.309,0.521,9.9,80.8,0.277,2002
Seattle Supersonics,27,2,3,0.4,1,4,101.7,113.8,-12.1,84.7,0.239,0.153,0.49,0.46,10.8,26.6,0.163,0.503,10,72.7,0.263,2002
San Antonio Spurs,27.1,16,8,0.667,17,7,103.7,97.7,6,91,0.399,0.198,0.525,0.476,14.4,28.6,0.284,0.439,14,73.4,0.216,2003
New Jersey Nets,27.3,14,6,0.7,12,8,102.6,98.9,3.7,89.9,0.336,0.165,0.506,0.453,14.1,30.9,0.256,0.464,14.8,76.7,0.252,2003
Sacramento Kings,28.3,7,5,0.583,7,5,112,109.6,2.4,94.7,0.341,0.215,0.549,0.499,12,29.3,0.265,0.495,12.7,70.7,0.216,2003
Portland Trail Blazers,28.1,3,4,0.429,4,3,115.2,114.1,1.1,87.9,0.373,0.215,0.551,0.501,13,36.3,0.28,0.507,11.1,72.7,0.228,2003
Detroit Pistons,27.9,8,9,0.471,9,8,102.7,101.7,1,86.5,0.416,0.258,0.515,0.455,13.3,25.5,0.308,0.459,14.8,70.6,0.253,2003
Philadelphia 76ers,29,6,6,0.5,6,6,105.8,104.8,1,85.6,0.345,0.141,0.527,0.468,14.5,31.3,0.277,0.473,13.8,72.3,0.268,2003
Los Angeles Lakers,27.9,6,6,0.5,6,6,107.1,106.9,0.2,92.8,0.313,0.24,0.529,0.491,12.7,27.9,0.222,0.5,13.1,76.2,0.251,2003
Dallas Mavericks,27.8,10,10,0.5,10,10,110.5,111.1,-0.6,93.2,0.245,0.269,0.546,0.503,11.6,25,0.203,0.494,12.5,70.4,0.286,2003
Boston Celtics,27,4,6,0.4,5,5,101.4,102.1,-0.7,90.4,0.303,0.307,0.528,0.477,14.2,20.8,0.243,0.449,14,73,0.311,2003
New Orleans Hornets,28.8,2,4,0.333,3,3,106.4,108.3,-1.9,87.2,0.328,0.222,0.526,0.479,14.2,31.5,0.244,0.471,14,68.5,0.306,2003
Milwaukee Bucks,30.3,2,4,0.333,2,4,105.8,110.5,-4.7,90.9,0.312,0.214,0.541,0.499,12.9,21,0.233,0.494,14.7,65.3,0.306,2003
Phoenix Suns,25.4,2,4,0.333,2,4,91.5,97.3,-5.8,91.4,0.265,0.187,0.456,0.414,14.8,27.8,0.189,0.438,16.8,67.4,0.302,2003
